file_id,filename,b1_rms,b1_kurtosis,b1_skewness,label,peak_freq_hz,spectral_centroid,spectral_energy,top_freq_1_hz,top_amp_1,top_freq_2_hz,top_amp_2,top_freq_3_hz,top_amp_3,top_freq_4_hz,top_amp_4,top_freq_5_hz,top_amp_5
0,2004.02.12.10.32.39,0.0741789985651262,0.6287626426442561,0.0839934354125321,Normal,1009.0,4173.309307034485,0.010794809716904084,1009.0,0.04230153733086346,51.0,0.011834460738660393,237.0,0.00554640397240367,4372.0,0.004717740092866531,4640.0,0.004434173966146206
1,2004.02.12.10.42.39,0.0753824568113952,0.6482910813108549,0.0521419073313326,Normal,1009.0,4197.722211212898,0.011350484298210478,1009.0,0.035461123090476936,51.0,0.012306929364844475,237.0,0.00720930810988084,4433.0,0.005447152179007916,4675.0,0.0046630946843633
2,2004.02.12.10.52.39,0.0762297744691993,0.5134753088232071,0.0328079981150351,Normal,1009.0,4149.606738513476,0.01160875062755261,1009.0,0.03378065594557981,51.0,0.01163000851760154,4479.0,0.006477964288620335,474.0,0.006134610651826104,4723.0,0.004399556307985397
3,2004.02.12.11.02.39,0.0787236764660297,1.1579527230048088,0.0414859617161303,Normal,1009.0,4125.13687323199,0.012383079262355587,1009.0,0.03496961189874059,51.0,0.011518082909326878,4695.0,0.006031711994445257,4393.0,0.005509655736798936,4264.0,0.0040831382280795666
4,2004.02.12.11.12.39,0.0784742907367796,0.6031769286310373,0.0282239443681932,Normal,1009.0,4141.750189699568,0.012303734572261731,1009.0,0.03189050198647205,51.0,0.010675242266158997,474.0,0.006390027319409682,4479.0,0.006086300611213384,3555.0,0.004711854901861827
5,2004.02.12.11.22.39,0.0783146413938072,0.4560936214628643,0.026852972301411,Normal,1010.0,4116.380766622374,0.012260035712847292,1010.0,0.029377521495200395,51.0,0.010803210648828339,237.0,0.0062784759589226795,4447.0,0.004948631975691459,475.0,0.004912069300787292
6,2004.02.12.11.32.39,0.0786324432585717,0.4786149756059883,0.0585945791507246,Normal,1009.0,4135.559177564066,0.012359244681934686,1009.0,0.04277308146260565,51.0,0.010893808088835581,237.0,0.005727180513915194,474.0,0.0050146181472919054,4439.0,0.0047771940881027875
7,2004.02.12.11.42.39,0.0777728802246483,0.4719824550317817,0.0825818179550488,Normal,1009.0,4133.419282568408,0.01208748034474189,1009.0,0.037877641579378965,51.0,0.009554026987593578,4485.0,0.007105685065073919,237.0,0.005906155675323991,4729.0,0.004270308746805296
8,2004.02.12.11.52.39,0.0790294298426225,0.404514320897305,-0.0080602937107421,Normal,1010.0,4120.447830423297,0.012483326682118065,1010.0,0.03653000410918695,51.0,0.010861046483853944,4418.0,0.005588686717498718,237.0,0.00527215586566952,4309.0,0.00512536122437425
9,2004.02.12.12.02.39,0.0757175598983031,0.32520331504832,0.0463210669448799,Normal,1010.0,4101.2190111279315,0.011455716952634172,1010.0,0.03025358804155373,51.0,0.011083007528309829,237.0,0.00775739545153476,474.0,0.005750032934323784,4448.0,0.004844397484232414
10,2004.02.12.12.12.39,0.0792411164801179,0.4552119318712826,0.0335197467618938,Normal,1009.0,4114.380828177002,0.012550414449755567,1009.0,0.039521850440822445,51.0,0.010025418429596242,4485.0,0.007789060089333631,474.0,0.004770359724674555,349.0,0.004690891683949674
11,2004.02.12.12.22.39,0.077638908086269,0.6415150749455005,0.0195652981323881,Normal,1009.0,4101.851297054952,0.012049638000223324,1009.0,0.02780105217873014,51.0,0.010259247170917453,4390.0,0.005951958152446802,237.0,0.005286240702044236,474.0,0.004916529907673256
12,2004.02.12.12.32.39,0.077404580876231,0.3647260382142652,0.0257700551009951,Normal,1009.0,4128.437226949284,0.011969489286890171,1009.0,0.04165626889037469,51.0,0.009812236336745467,474.0,0.006045271941661923,4492.0,0.0058959416475657354,236.0,0.004770631000480136
13,2004.02.12.12.42.39,0.0798646872010324,0.5982531546782233,0.0367497915111273,Normal,1009.0,4109.658274659768,0.01275298953549199,1009.0,0.028861813580789195,51.0,0.009670059415403384,4397.0,0.005510777705558344,4276.0,0.005024436009469431,505.0,0.004864407791039977
14,2004.02.12.12.52.39,0.0792169800714507,0.5511103583412886,0.024887726210298,Normal,1009.0,4117.563750936941,0.012537625567744966,1009.0,0.03235497796091175,51.0,0.010334280294346472,474.0,0.006679450799772351,237.0,0.006296706530545041,4402.0,0.005366352903911822
15,2004.02.12.13.02.39,0.0786617772193871,0.5530516614826197,-0.013483613994623,Normal,1009.0,4119.366348547952,0.01237012784759279,1009.0,0.04268133348766211,51.0,0.010036429726112208,474.0,0.008682757676644408,4490.0,0.0060268114618346556,1923.0,0.004344399052208337
16,2004.02.12.13.12.39,0.078453383600948,0.4799660990734948,0.0164555313351937,Normal,1009.0,4096.818097316614,0.012300999258268856,1009.0,0.04179024121395029,51.0,0.011124780709854216,237.0,0.006105614223797438,4385.0,0.005824013923220405,4721.0,0.005092311497469248
17,2004.02.12.13.22.39,0.0776227741604187,0.4477488811593342,0.0203905108983827,Normal,1010.0,4082.7035610607154,0.012044146884615307,1010.0,0.037721764511427,51.0,0.010242896729366227,237.0,0.004945567598092108,4398.0,0.004684956941617351,3443.0,0.00463413893484876
18,2004.02.12.13.32.39,0.0778255583294901,0.341445316373242,0.0035138311433548,Normal,1009.0,4080.973653799651,0.01209710060281647,1009.0,0.03282987964008499,51.0,0.009971026643361773,237.0,0.007880352804305229,4427.0,0.005992706860568377,474.0,0.005163896965491414
19,2004.02.12.13.42.39,0.0789331606338948,0.5964296522845243,-0.0321235718234083,Normal,1009.0,4098.310108849725,0.012448718407909613,1009.0,0.037306938908035873,51.0,0.010614119136716255,4429.0,0.005240458271315647,4176.0,0.0051397733808685245,4316.0,0.004715867661244055
20,2004.02.12.13.52.39,0.0790285478605872,0.5063801110635779,0.0615529850342097,Normal,1009.0,4122.434736351637,0.012486018911389013,1009.0,0.04016259026501478,51.0,0.011290604235275952,237.0,0.006880955698623407,4406.0,0.005618272176698469,4514.0,0.005036086270663084
21,2004.02.12.14.02.39,0.0793632849991693,0.3844068433999399,0.0377441464416183,Normal,1009.0,4096.634856479926,0.012588900993083752,1009.0,0.03230602294241832,51.0,0.009578551642292807,237.0,0.008525731590665803,4485.0,0.00820730980074453,4306.0,0.004808584952036726
22,2004.02.12.14.12.39,0.0794867204047514,0.4149724425540562,0.0197077538694556,Normal,1009.0,4107.778989962401,0.012626637358720653,1009.0,0.032384961801175366,44.0,0.010729845534292319,4478.0,0.00784537005904592,4722.0,0.00571243955239227,4355.0,0.004878263560272745
