file_id,filename,b1_rms,b1_kurtosis,b1_skewness,label
0,2004.02.12.10.32.39,0.07417899856512623,0.6287626426442561,0.08399343541253215,Normal
1,2004.02.12.10.42.39,0.07538245681139528,0.6482910813108549,0.05214190733133261,Normal
2,2004.02.12.10.52.39,0.07622977446919937,0.5134753088232071,0.03280799811503519,Normal
3,2004.02.12.11.02.39,0.07872367646602975,1.1579527230048088,0.04148596171613033,Normal
4,2004.02.12.11.12.39,0.07847429073677968,0.6031769286310373,0.02822394436819329,Normal
5,2004.02.12.11.22.39,0.07831464139380724,0.45609362146286436,0.02685297230141105,Normal
6,2004.02.12.11.32.39,0.07863244325857172,0.4786149756059883,0.05859457915072469,Normal
7,2004.02.12.11.42.39,0.07777288022464836,0.4719824550317817,0.0825818179550488,Normal
8,2004.02.12.11.52.39,0.07902942984262255,0.404514320897305,-0.008060293710742156,Normal
9,2004.02.12.12.02.39,0.07571755989830316,0.32520331504832,0.04632106694487997,Normal
10,2004.02.12.12.12.39,0.07924111648011797,0.4552119318712826,0.03351974676189382,Normal
11,2004.02.12.12.22.39,0.077638908086269,0.6415150749455005,0.019565298132388165,Normal
12,2004.02.12.12.32.39,0.07740458087623109,0.3647260382142652,0.025770055100995167,Normal
13,2004.02.12.12.42.39,0.07986468720103242,0.5982531546782233,0.036749791511127325,Normal
14,2004.02.12.12.52.39,0.07921698007145074,0.5511103583412886,0.024887726210298083,Normal
15,2004.02.12.13.02.39,0.07866177721938719,0.5530516614826197,-0.01348361399462306,Normal
16,2004.02.12.13.12.39,0.07845338360094803,0.47996609907349486,0.01645553133519379,Normal
17,2004.02.12.13.22.39,0.07762277416041877,0.4477488811593342,0.02039051089838273,Normal
18,2004.02.12.13.32.39,0.07782555832949016,0.34144531637324205,0.003513831143354892,Normal
19,2004.02.12.13.42.39,0.07893316063389487,0.5964296522845243,-0.03212357182340833,Normal
20,2004.02.12.13.52.39,0.07902854786058722,0.5063801110635779,0.06155298503420976,Normal
21,2004.02.12.14.02.39,0.07936328499916934,0.3844068433999399,0.037744146441618366,Normal
22,2004.02.12.14.12.39,0.07948672040475141,0.4149724425540562,0.019707753869455672,Normal
23,2004.02.12.14.22.39,0.07975294340914243,0.5200740317916859,-0.03851889509533163,Normal
24,2004.02.12.14.32.39,0.07938138784581765,0.4846810415588352,-0.036549177114067834,Normal
25,2004.02.12.14.42.39,0.07759187944533484,0.3099755507638151,0.0266197723662214,Normal
26,2004.02.12.14.52.39,0.07774099563514575,0.36804211992333746,0.0013370289616362577,Normal
27,2004.02.12.15.02.39,0.07751394405806931,0.40420833824649316,-0.0326706483190684,Normal
28,2004.02.12.15.12.39,0.07827954401833694,0.3419917127536731,0.03369687604185462,Normal
29,2004.02.12.15.22.39,0.07886118143611597,0.5350200636292444,-0.006817488878259659,Normal
30,2004.02.12.15.32.39,0.07858236746600665,0.4890447103350155,-0.0026227136240164137,Normal
31,2004.02.12.15.42.39,0.08023091764702917,0.4867117699711172,0.02306220757724868,Normal
32,2004.02.12.15.52.39,0.07742107025313345,0.5086729705515918,-0.01826627067833771,Normal
33,2004.02.12.16.02.39,0.07901612461528817,0.40449241574751404,0.029730785177960038,Normal
34,2004.02.12.16.12.39,0.07823475415576188,0.40668092875128226,-0.014541133659960096,Normal
35,2004.02.12.16.22.39,0.07812870584960675,0.4218788787843972,-0.011723759566206884,Normal
36,2004.02.12.16.32.39,0.07686189103169887,0.409627806173567,-0.012802938401103163,Normal
37,2004.02.12.16.42.39,0.07986518700725069,0.5706517890996232,-0.009777100151057361,Normal
38,2004.02.12.16.52.39,0.07742917473155306,0.35696928410462325,0.04514825783681482,Normal
39,2004.02.12.17.02.39,0.0784612560514543,0.6561008820895786,-0.000504141721927954,Normal
40,2004.02.12.17.12.39,0.0785959604559929,0.5058926832599493,-0.03750214704176657,Normal
41,2004.02.12.17.22.39,0.07866142681365101,0.45311400755295494,-0.008567194109819452,Normal
42,2004.02.12.17.32.39,0.07762854039078106,0.4307640222326752,0.04469583003677711,Normal
43,2004.02.12.17.42.39,0.07820874324224403,0.488396336752809,-0.00635618800427185,Normal
44,2004.02.12.17.52.39,0.07808856431612202,0.5367816627512911,0.030868202418370145,Normal
